beurre,Type,Rarete,Etat,Weight,Calorie au 100g,Protéine,Glucide,Lipide,Fibre
Bière,Alcool,Rare,Liquid,"70,0","43,0","0,5","3,6","0,0","0,0"
Câpres,Condiment,Rare,,"200,0","23,0","2,4","4,9","0,9","3,3"
Crabe,Crustace,Rare,,"2,0","83,0","17,9","0,0","0,2","0,0"
Crevette,Crustace,Commun,,"50,0","119,0","22,8","1,5","1,7","0,0"
Seiche,Crustace,Rare,,"28,0","79,0","15,6","3,1","1,4","0,0"
Zélande,Crustace,Très rare,Liquid,"330,0","111,0","20,5","5,1","2,0","0,0"
Blé,Feculent,Commun,,"40,0","327,0","12,6","71,2","1,5","12,2"
Châtaigne,Feculent,Rare,,"100,0","213,0","2,4","45,5","2,2","8,3"
Maïs,Feculent,Commun,,"45,0","365,0","9,4","74,3","4,7","7,3"
Marron,Feculent,Rare,,"50,0","213,0","2,4","45,5","2,2","8,3"
Pain complet,Feculent,Commun,,"4,0","247,0","13,0","41,0","4,4","6,8"
Patate douce,Feculent,Commun,,"185,0","90,0","2,0","21,0","0,1","3,3"
Pomme de terre,Feculent,Commun,,"120,0","77,0","2,0","17,0","0,1","2,2"
Quinoa,Feculent,Rare,,"10,0","368,0","14,1","64,2","6,1","7,0"
Riz,Feculent,Commun,,"5,0","339,0","7,3","74,0","0,9","0,8"
Riz blanc,Feculent,Commun,,"20,0","130,0","2,7","28,0","0,3","0,4"
Riz brun,Feculent,Rare,,"6,0","346,0","7,9","69,1","3,1","3,5"
Sarrasin,Feculent,Rare,,"110,0","343,0","13,0","72,0","3,0","10,0"
Semoule,Feculent,Commun,,"2,0","360,0","12,7","73,0","1,2","3,9"
Sorgho,Feculent,Très rare,,"113,0","329,0","11,3","72,1","3,4","6,7"
Tapioca,Feculent,Rare,,"200,0","358,0","0,2","88,7","0,0","0,9"
Topinambour,Feculent,Rare,,"5,0","73,0","2,0","17,4","0,1","1,6"
Yacon,Feculent,Très rare,,"34,0","54,0","0,0","12,8","0,1","1,9"
Yam,Feculent,Très rare,,"5,0","118,0","1,5","27,9","0,2","4,1"
Acerola,Fruit,Très rare,,"5,0","32,0","0,4","7,7","0,3","1,1"
Airelle,Fruit,Rare,,"15,0","46,0","0,4","11,3","0,1","3,8"
Ananas,Fruit,Commun,,"20,0","50,0","0,5","13,1","0,1","1,4"
Banane,Fruit,Commun,,"82,0","89,0","1,1","22,8","0,3","2,6"
Bleuet,Fruit,Rare,,"91,0","57,0","0,7","14,5","0,3","2,4"
Bleuets,Fruit,Rare,,"5,0","57,0","0,7","14,5","0,3","2,4"
Cantaloup,Fruit,Commun,,"13,0","40,0","1,0","9,0","0,0","2,2"
Cassis,Fruit,Rare,,"67,0","63,0","1,4","15,4","0,0","4,3"
Citron,Fruit,Commun,,"100,0","29,0","1,1","9,3","0,3","2,8"
Clémentine,Fruit,Commun,,"3,0","41,0","0,8","10,6","0,2","1,7"
Coing,Fruit,Rare,,"10,0","57,0","0,4","15,3","0,1","1,9"
Cranberry,Fruit,Rare,,"234,0","46,0","0,4","12,2","0,1","5,4"
Dattes,Fruit,Commun,,"15,0","277,0","1,8","75,0","0,2","6,7"
Figue,Fruit,Commun,,"172,0","74,0","0,8","19,2","0,3","2,9"
Fraise,Fruit,Commun,-,"32,0","33,0","0,7","7,7","0,3","2,0"
Framboise,Fruit,Commun,,"14,0","52,0","1,2","11,9","0,7","6,5"
Grenade,Fruit,Commun,,"250,0","83,0","1,7","18,7","1,2","4,0"
Groseille,Fruit,Rare,,"36,0","56,0","1,3","13,8","0,2","4,3"
Kiwi,Fruit,Commun,,"88,0","61,0","1,1","14,7","0,5","3,0"
Lime,Fruit,Commun,,"150,0","30,0","0,7","10,5","0,2","2,8"
Litchi,Fruit,Rare,,"15,0","66,0","0,8","16,5","0,4","1,3"
Mandarine,Fruit,Commun,,"7,0","53,0","0,8","13,3","0,3","1,8"
Mangue,Fruit,Commun,,"7,0","60,0","0,8","15,0","0,4","1,6"
Melon,Fruit,Commun,,"3,0","34,0","0,8","8,2","0,2","0,9"
Mûre,Fruit,Commun,,"170,0","43,0","1,4","9,6","0,5","5,3"
Myrtille,Fruit,Rare,,"304,0","57,0","0,7","14,5","0,3","2,4"
Orange,Fruit,Commun,,"66,0","47,0","0,9","11,8","0,1","2,4"
Pamplemousse,Fruit,Commun,,"20,0","42,0","0,8","10,7","0,1","1,6"
Papaye,Fruit,Rare,,"15,0","43,0","0,5","10,8","0,3","1,7"
Pastèque,Fruit,Commun,,"100,0","30,0","0,6","7,6","0,2","0,4"
Pêche,Fruit,Commun,,"20,0","39,0","0,9","9,5","0,3","1,5"
Poire,Fruit,Commun,,"9,0","57,0","0,4","15,2","0,1","3,1"
Pomelo,Fruit,Commun,,"100,0","42,0","0,8","10,7","0,1","1,6"
Pomme,Fruit,Commun,,"150,0","52,0","0,3","13,8","0,2","2,4"
Prune,Fruit,Commun,,"2,0","46,0","0,7","11,4","0,3","1,4"
Raisin,Fruit,Commun,,"170,0","69,0","0,7","18,1","0,2","0,9"
Tamarin,Fruit,Très rare,,"119,0","239,0","2,8","62,5","0,6","5,1"
Cheddar,Laitage,Commun,,"80,0","403,0","24,9","1,3","33,1","0,0"
Feta,Laitage,Commun,,"172,0","264,0","14,2","4,1","21,3","0,0"
Fromage bleu,Laitage,Rare,,"130,0","353,0","21,4","2,3","28,7","0,0"
Fromage cheddar,Laitage,Commun,,"67,0","403,0","24,9","1,3","33,1","0,0"
Lait,Laitage,Commun,,"200,0","64,0","3,3","4,8","3,6","0,0"
Yaourt grec,Laitage,Commun,,"193,0","59,0","10,0","3,6","0,4","0,0"
Yaourt nature,Laitage,Commun,,"2,0","61,0","3,5","4,7","3,3","0,0"
Ail,Legume,Commun,,"3,0","149,0","6,4","33,1","0,5","2,1"
Algues,Legume,Rare,,"10,0","43,0","5,8","9,6","0,6","0,3"
Artichaut,Legume,Commun,,"150,0","47,0","3,3","10,5","0,2","5,4"
Asperge,Legume,Commun,,"150,0","20,0","2,2","3,9","0,1","2,1"
Aubergine,Legume,Commun,,"30,0","25,0","1,0","5,9","0,2","3,0"
Basilic,Legume,Commun,,"5,0","23,0","3,2","2,7","0,6","1,6"
Bette,Legume,Rare,,"50,0","19,0","1,8","3,7","0,2","1,6"
Betterave,Legume,Commun,,"20,0","43,0","1,6","9,6","0,2","2,8"
Bok choy,Legume,Rare,,"3,0","13,0","1,5","2,2","0,2","1,0"
Bourrache,Legume,Très rare,,"8,0","21,0","1,8","2,9","0,7","1,1"
Branche de céleri,Legume,Commun,,"2,0","14,0","0,7","3,0","0,2","1,6"
Brocoli,Legume,Commun,,"61,0","34,0","2,8","6,6","0,4","2,6"
Brunoise,Legume,Rare,,"30,0","28,0","1,0","5,7","0,2","2,1"
Carotte,Legume,Commun,,"20,0","41,0","0,9","9,6","0,2","2,8"
Céleri,Legume,Commun,,"89,0","16,0","0,7","3,0","0,2","1,6"
Champignon,Legume,Commun,,"100,0","22,0","3,1","3,3","0,3","1,0"
Chou,Legume,Commun,,"92,0","25,0","1,3","5,8","0,1","2,5"
Chou de Bruxelles,Legume,Commun,,"150,0","43,0","3,4","8,9","0,3","3,8"
Chou frisé,Legume,Commun,,"2,0","49,0","4,3","8,8","0,9","3,6"
Chou kale,Legume,Rare,,"4,0","49,0","4,3","8,8","0,9","3,6"
Chou rouge,Legume,Commun,,"205,0","31,0","1,4","7,4","0,2","2,1"
Chou vert,Legume,Commun,,"124,0","25,0","1,3","5,8","0,1","2,5"
Chou-fleur,Legume,Commun,,"100,0","25,0","2,0","5,0","0,3","2,0"
Ciboulette,Legume,Commun,,"100,0","30,0","3,3","4,4","0,7","2,5"
Concombre,Legume,Commun,,"24,0","12,0","0,6","2,2","0,1","0,5"
Courge,Legume,Commun,,"30,0","20,0","0,6","4,3","0,1","1,1"
Courgette,Legume,Commun,,"30,0","17,0","1,2","3,1","0,3","1,0"
Cresson,Legume,Rare,,"150,0","11,0","2,3","1,3","0,1","0,5"
Échalote,Legume,Commun,,"28,0","72,0","2,5","16,8","0,1","3,2"
Endive,Legume,Commun,,"40,0","17,0","0,9","3,4","0,2","1,6"
Epinard,Legume,Commun,,"24,0","23,0","2,9","1,1","0,4","2,2"
Estragon,Legume,Rare,,"282,0","295,0","22,8","50,2","7,2","7,4"
Fenouil,Legume,Commun,,"50,0","31,0","1,2","7,3","0,2","3,1"
Gingembre,Legume,Commun,,"17,0","80,0","1,8","17,8","0,8","2,0"
Gombo,Legume,Rare,,"69,0","33,0","1,9","7,5","0,2","3,2"
Haricot vert,Legume,Commun,-,"5,0","31,0","1,8","7,1","0,1","3,4"
Jalapeno,Legume,Rare,,"19,0","29,0","0,9","6,5","0,4","2,8"
Kale,Legume,Rare,,"2,0","49,0","4,3","8,8","0,9","3,6"
Laitue,Legume,Commun,,"20,0","15,0","1,4","2,9","0,2","1,3"
Nori,Legume,Très rare,,"213,0","35,0","5,8","5,1","0,3","0,3"
Oignon,Legume,Commun,,"205,0","40,0","1,1","9,3","0,1","1,7"
Panais,Legume,Rare,,"49,0","75,0","1,2","17,9","0,3","4,9"
Piment,Legume,Commun,,"1,0","40,0","2,0","9,5","0,4","1,5"
Poireau,Legume,Commun,,"186,0","61,0","1,5","14,2","0,3","1,8"
Poivron,Legume,Commun,,"100,0","31,0","1,0","6,0","0,3","2,1"
Potiron,Legume,Commun,,"120,0","26,0","1,0","6,5","0,1","0,5"
Radis,Legume,Commun,Liquid,"30,0","16,0","0,7","3,4","0,1","1,6"
Raifort,Legume,Rare,,"20,0","48,0","1,2","11,3","0,7","3,3"
Rhubarbe,Legume,Rare,Liquid,"245,0","21,0","0,9","4,5","0,2","1,8"
Roquette,Legume,Commun,,"28,0","25,0","2,6","3,7","0,7","1,6"
Sauge,Legume,Rare,,"16,0","315,0","10,6","60,7","12,8","40,3"
Spiruline,Legume,Très rare,,"2,0","290,0","57,5","23,9","7,7","3,6"
Tomate,Legume,Commun,,"20,0","18,0","0,9","3,9","0,2","1,2"
Tomate cerise,Legume,Commun,,"5,0","27,0","1,3","4,0","0,4","1,0"
Wakame,Legume,Très rare,,"150,0","45,0","3,0","9,1","0,6","0,5"
Cresson,Legume,Rare,,"1,0","11,0","2,3","1,3","0,1","0,5"
Haricots noirs,Legume,Commun,,"192,0","339,0","21,3","62,4","0,9","15,5"
Haricots rouges,Legume,Commun,,"200,0","333,0","24,4","60,0","0,8","25,0"
Lentilles,Legume,Commun,,"2,0","352,0","25,8","60,1","1,1","10,7"
Luzerne,Legume,Très rare,,"16,0","23,0","4,0","2,1","0,7","1,9"
Pois chiche,Legume,Commun,,"8,0","364,0","19,3","61,0","6,0","17,4"
Soja,Legume,Commun,,"28,0","446,0","36,5","30,2","19,9","9,3"
Tofu,Legume,Commun,,"200,0","126,0","12,1","1,9","7,9","0,3"
Avocat,Lipide,Commun,,"120,0","160,0","2,0","8,5","14,7","6,7"
Beurre,Lipide,Commun,,"85,0","717,0","0,9","0,1","81,1","0,0"
Cacao,Lipide,Commun,,"70,0","228,0","19,6","57,9","13,7","37,0"
Huile d'olive,Lipide,Commun,,"10,0","884,0","0,0","0,0","100,0","0,0"
Amande,Oleagineux,Commun,,"1,0","579,0","21,2","21,7","49,9","12,5"
Cacahuète,Oleagineux,Commun,,"40,0","567,0","25,8","16,1","49,2","8,5"
Cajou,Oleagineux,Commun,,"20,0","553,0","18,2","30,2","43,9","3,3"
Chia,Oleagineux,Rare,,"3,0","486,0","16,5","42,1","30,7","34,4"
Lin,Oleagineux,Rare,,"5,0","534,0","18,3","28,9","42,2","27,3"
Macadamia,Oleagineux,Rare,,"2,0","718,0","7,9","13,8","75,8","8,6"
Noisette,Oleagineux,Commun,,"286,0","628,0","14,1","16,7","60,8","9,7"
Noix,Oleagineux,Commun,,"100,0","654,0","15,2","13,7","65,2","6,7"
Noix de coco,Oleagineux,Commun,,"178,0","354,0","3,3","15,2","33,5","9,0"
Noix de macadamia,Oleagineux,Rare,,"164,0","718,0","7,9","13,8","75,8","8,6"
Noix de pécan,Oleagineux,Rare,,"119,0","691,0","9,2","13,9","72,0","9,6"
Olive,Oleagineux,Commun,,"120,0","115,0","0,8","6,3","10,7","3,2"
Pécan,Oleagineux,Rare,,"2,0","691,0","9,2","13,9","72,0","9,6"
Pistache,Oleagineux,Commun,,"150,0","562,0","20,2","27,5","45,4","10,6"
Sésame,Oleagineux,Commun,,"15,0","573,0","17,7","23,5","49,7","11,8"
Anchois,Poisson,Rare,,"128,0","210,0","29,0","0,0","10,0","0,0"
Flétan,Poisson,Rare,,"30,0","91,0","19,9","0,0","1,3","0,0"
Morue,Poisson,Rare,,"30,0","105,0","23,0","0,0","0,9","0,0"
Poisson blanc,Poisson,Commun,,"150,0","86,0","18,3","0,0","1,0","0,0"
Sardine,Poisson,Commun,,"25,0","208,0","24,6","0,0","11,5","0,0"
Saumon,Poisson,Commun,,"130,0","206,0","22,1","0,0","12,4","0,0"
Sole,Poisson,Rare,,"89,0","83,0","16,5","0,0","1,4","0,0"
Thon,Poisson,Commun,,"195,0","132,0","28,0","0,0","1,0","0,0"
Truite,Poisson,Commun,,"150,0","148,0","20,5","0,0","7,0","0,0"
Chili,Sauce,Commun,,"74,0","40,0","2,0","9,5","0,4","1,5"
Ketchup,Sauce,Commun,,"150,0","112,0","1,2","25,0","0,2","0,3"
Moutarde,Sauce,Commun,,"123,0","66,0","4,4","5,8","4,0","3,3"
