beurre,Type,Rarete,Portion,Weight,Calorie au 100g,Protéine,Glucide,Lipide,Fibre
Acerola,Fruit,Très rare,,5.0,32.0,0.4,7.7,0.3,1.1
Ail,Legume,Commun,,3.0,149.0,6.4,33.1,0.5,2.1
Airelle,Fruit,Rare,,15.0,46.0,0.4,11.3,0.1,3.8
Algues,Legume,Rare,,10.0,43.0,5.8,9.6,0.6,0.3
Amande,Oleagineux,Commun,,1.0,579.0,21.2,21.7,49.9,12.5
Ananas,Fruit,Commun,,20.0,50.0,0.5,13.1,0.1,1.4
Anchois,Poisson,Rare,,128.0,210.0,29.0,0.0,10.0,0.0
Artichaut,Legume,Commun,,150.0,47.0,3.3,10.5,0.2,5.4
Asperge,Legume,Commun,,150.0,20.0,2.2,3.9,0.1,2.1
Aubergine,Legume,Commun,,30.0,25.0,1.0,5.9,0.2,3.0
Avocat,Lipide,Commun,Unitaire,120.0,160.0,2.0,8.5,14.7,6.7
Babybel,Fromage,Commun,Unitaire,22.0,314.0,22.5,0.0,25.0,0.0
Bacon,Viande,Commun,,20.0,541.0,37.0,1.4,42.0,0.0
Banane,Fruit,Commun,Unitaire,82.0,89.0,1.1,22.8,0.3,2.6
Bette,Legume,Rare,,50.0,19.0,1.8,3.7,0.2,1.6
Betterave,Legume,Commun,,20.0,43.0,1.6,9.6,0.2,2.8
Beurre,Lipide,Commun,,85.0,717.0,0.9,0.1,81.1,0.0
Bière,Alcool,Rare,Liquide,70.0,43.0,0.5,3.6,0.0,0.0
Biscuits Lu,Snack,Commun,,30.0,475.0,6.0,68.0,20.0,2.5
Blé,Feculent,Commun,,40.0,327.0,12.6,71.2,1.5,12.2
Bleuet,Fruit,Rare,,91.0,57.0,0.7,14.5,0.3,2.4
Bleuets,Fruit,Rare,,5.0,57.0,0.7,14.5,0.3,2.4
Boeuf haché,Viande,Commun,,28.0,250.0,26.0,0.0,17.0,0.0
Bok choy,Legume,Rare,,3.0,13.0,1.5,2.2,0.2,1.0
Bonbons Haribo,Snack,Commun,,40.0,343.0,6.9,77.4,0.2,0.0
Bourrache,Legume,Très rare,,8.0,21.0,1.8,2.9,0.7,1.1
Branche de céleri,Legume,Commun,,2.0,14.0,0.7,3.0,0.2,1.6
Brocoli,Legume,Commun,,61.0,34.0,2.8,6.6,0.4,2.6
Brunoise,Legume,Rare,,30.0,28.0,1.0,5.7,0.2,2.1
Bubble Tea,Boisson,Commun,Liquide,400.0,85.0,0.3,21.0,0.1,0.2
Cacahuète,Oleagineux,Commun,Petit,40.0,567.0,25.8,16.1,49.2,8.5
Cacao,Lipide,Commun,,70.0,228.0,19.6,57.9,13.7,37.0
Cajou,Oleagineux,Commun,Petit,20.0,553.0,18.2,30.2,43.9,3.3
Cantaloup,Fruit,Commun,,13.0,40.0,1.0,9.0,0.0,2.2
Câpres,Condiment,Rare,,200.0,23.0,2.4,4.9,0.9,3.3
Carotte,Legume,Commun,Unitaire,20.0,41.0,0.9,9.6,0.2,2.8
Cassis,Fruit,Rare,Petit,67.0,63.0,1.4,15.4,0.0,4.3
Céleri,Legume,Commun,,89.0,16.0,0.7,3.0,0.2,1.6
Champignon,Legume,Commun,,100.0,22.0,3.1,3.3,0.3,1.0
Chantilly,Laitage,Commun,,30.0,257.0,2.0,12.5,23.0,0.0
Châtaigne,Feculent,Rare,,100.0,213.0,2.4,45.5,2.2,8.3
Cheddar,Laitage,Commun,,80.0,403.0,24.9,1.3,33.1,0.0
