Nom,Type,Rarete,Portion,Weight,Volume,Calorie au 100g,Protéine,Glucide,Lipide,Fibre,IG
Acerola,Fruit,Très rare,Petit,5,100,32.0,0.4,7.7,0.3,1.1,20
Ail,Legume,Commun,Petit,3,5,149.0,6.4,33.1,0.5,2.1,30
Airelle,Fruit,Rare,Petit,15,1,46.0,0.4,11.3,0.1,3.8,45
Algues,Legume,Rare,Petit,10,100,43.0,5.8,9.6,0.6,0.3,0
Amande,Oleagineux,Commun,Petit,1,1,579.0,21.2,21.7,49.9,12.5,15
Ananas,Fruit,Commun,Tranche,20,1200,50.0,0.5,13.1,0.1,1.4,45
Anchois,Poisson,Rare,Unitaire,128,100,210.0,29.0,0.0,10.0,0.0,0
Artichaut,Legume,Commun,Unitaire,150,500,47.0,3.3,10.5,0.2,5.4,20
Asperge,Legume,Commun,Unitaire,150,5,20.0,2.2,3.9,0.1,2.1,15
Aubergine,Legume,Commun,Unitaire,30,250,25.0,1.0,5.9,0.2,3.0,20
Avocat,Lipide,Commun,Unitaire,120,150,160.0,2.0,8.5,14.7,6.7,10
Babybel,Fromage,Commun,Unitaire,22,15,314.0,22.5,0.0,25.0,0.0,0
Tranche de bacon,Viande,Commun,Unitaire,20,10,541.0,37.0,1.4,42.0,0.0,0
Banane,Fruit,Commun,Unitaire,82,120,89.0,1.1,22.8,0.3,2.6,60
Bette,Legume,Rare,,50,100,19.0,1.8,3.7,0.2,1.6,0
Betterave,Legume,Commun,Unitaire,20,70,43.0,1.6,9.6,0.2,2.8,30
Beurre,Lipide,Commun,Tranche,85,100,717.0,0.9,0.1,81.1,0.0,0
Bière,Alcool,Rare,Unitaire,70,100,43.0,0.5,3.6,0.0,0.0,0
Biscuits Lu,Snack,Commun,Unitaire,30,15,475.0,6.0,68.0,20.0,2.5,0
Blé,Feculent,Commun,Petit,40,200,327.0,12.6,71.2,1.5,12.2,0
Boeuf haché,Viande,Commun,Unitaire,28,100,250.0,26.0,0.0,17.0,0.0,0
Bok choy,Legume,Rare,,3,200,13.0,1.5,2.2,0.2,1.0,0
